7, 9, 13, 15, 17, 25, 26 + 23, 39
5, 9, 13, 14, 22, 31, 39 + 25, 35
13, 14, 24, 27, 29, 34, 39 + 10, 18
2, 3, 13, 28, 29, 31, 36 + 17, 39
1, 7, 8, 20, 25, 27, 34 + 6, 33
2, 3, 20, 25, 29, 33, 39 + 13, 21
16, 18, 22, 27, 33, 36, 38 + 31, 34
5, 14, 16, 18, 21, 24, 28 + 19, 23
15, 22, 25, 26, 28, 29, 39 + 13, 24
1, 4, 5, 12, 16, 27, 33 + 24, 34
4, 9, 15, 16, 20, 32, 34 + 14, 37
3, 17, 29, 32, 33, 35, 36 + 1, 21
6, 7, 9, 20, 21, 22, 35 + 2, 37
2, 4, 19, 22, 25, 26, 39 + 6, 37
5, 12, 13, 14, 27, 28, 31 + 9, 20
2, 3, 10, 17, 23, 30, 35 + 16, 18
1, 5, 9, 12, 14, 22, 26 + 4, 28
14, 16, 20, 21, 23, 25, 26 + 28, 35
5, 7, 8, 12, 20, 37, 39 + 26, 29
6, 10, 16, 17, 18, 26, 35 + 20, 23
1, 3, 7, 18, 27, 33, 34 + 22, 38
1, 6, 12, 19, 22, 32, 35 + 8, 34
6, 7, 9, 18, 27, 34, 36 + 17, 31
4, 10, 17, 19, 20, 33, 36 + 28, 37
2, 3, 21, 22, 29, 34, 39 + 7, 9
1, 17, 23, 28, 30, 32, 33 + 16, 39
2, 8, 10, 21, 27, 31, 34 + 3, 24
5, 8, 9, 10, 12, 27, 30 + 1, 11
1, 9, 13, 15, 18, 36, 37 + 11, 17
3, 7, 15, 17, 34, 38, 39 + 2, 16
9, 16, 20, 26, 29, 30, 37 + 18, 39
12, 15, 18, 21, 24, 25, 29 + 4, 26
2, 14, 15, 16, 17, 19, 31 + 20, 37
6, 11, 18, 25, 26, 30, 32 + 9, 36
11, 13, 19, 31, 33, 35, 38 + 1, 9
2, 6, 12, 15, 17, 19, 35 + 1, 8
1, 12, 19, 20, 22, 25, 31 + 38, 39
3, 11, 17, 25, 26, 32, 37 + 10, 38
7, 10, 12, 18, 21, 27, 38 + 11, 35
10, 15, 24, 25, 26, 27, 35 + 2, 37
10, 17, 25, 32, 34, 36, 39 + 4, 9
1, 2, 7, 18, 29, 33, 39 + 16, 34
3, 4, 10, 16, 20, 35, 39 + 18, 36
4, 6, 7, 11, 25, 28, 34 + 1, 36
24, 27, 28, 31, 32, 33, 37 + 11, 25
1, 9, 16, 28, 30, 33, 35 + 32, 38
1, 6, 21, 24, 28, 30, 33 + 19, 35
5, 11, 13, 20, 23, 26, 35 + 30, 37
4, 12, 15, 16, 19, 21, 27 + 10, 17
4, 15, 21, 27, 29, 34, 37 + 11, 17
5, 9, 19, 20, 32, 33, 35 + 2, 13
